ModbusManager 1.0.8
20150624
Product: F1145, F1245
Database: 4446
Title;Info;ID;Unit;Size;Factor;Min;Max;Default;Mode
"BT1 Outdoor temp";"Outdoor temperature";40004;"°C";s16;10;0;0;0;R;
"EP23-BT2 Supply temp S4";"Supply temperature for system 4";40005;"°C";s16;10;0;0;0;R;
"EP22-BT2 Supply temp S3";"Supply temperature for system 3";40006;"°C";s16;10;0;0;0;R;
"EP21-BT2 Supply temp S2";"Supply temperature for system 2";40007;"°C";s16;10;0;0;0;R;
"BT2 Supply temp S1";"Supply temperature for system 1";40008;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT3 Return temp";"Return temperature";40012;"°C";s16;10;0;0;0;R;
"BT7 Hot Water top";"";40013;"°C";s16;10;0;0;0;R;
"BT6 Hot Water load";"";40014;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT10 Brine in temp";"";40015;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT11 Brine out temp";"";40016;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT12 Cond. out";"";40017;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT14 Hot gas temp";"";40018;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT15 Liquid line";"";40019;"°C";s16;10;0;0;0;R;
"EB100-EP14-BT17 Suction";"";40022;"°C";s16;10;0;0;0;R;
"EB100-BT20 Exhaust air temp. 1";"";40025;"°C";s16;10;0;0;0;R;
"EB100-BT21 Vented air temp. 1";"";40026;"°C";s16;10;0;0;0;R;
"AZ1-BT26 Temp Collector in FLM 1";"Connected to the FLM module";40028;"°C";s16;10;0;0;0;R;
"AZ1-BT27 Temp Collector out FLM 1";"Connected to the FLM module";40029;"°C";s16;10;0;0;0;R;
"EP23-BT50 Room Temp S4";"";40030;"°C";s16;10;0;0;0;R;
"EP22-BT50 Room Temp S3";"";40031;"°C";s16;10;0;0;0;R;
"EP21-BT50 Room Temp S2";"";40032;"°C";s16;10;0;0;0;R;
"BT50 Room Temp S1";"";40033;"°C";s16;10;0;0;0;R;
"CL11-BT51 Pool 1 Temp";"";40042;"°C";s16;10;0;0;0;R;
"EP8-BT53 Solar Panel Temp";"";40043;"°C";s16;10;0;0;0;R;
"EP8-BT54 Solar Load Temp";"";40044;"°C";s16;10;0;0;0;R;
"EQ1-BT64 Cool Supply Temp";"";40045;"°C";s16;10;0;0;0;R;
"EQ1-BT65 Cool Return Temp";"";40046;"°C";s16;10;0;0;0;R;
"EB100-FD1 Temperature limiter";"";40054;"";s16;1;0;0;0;R;
"BT1 Average";"EB100-BT1 Outdoor temperature average";40067;"°C";s16;10;0;0;0;R;
"EM1-BT52 Boiler temperature";"Temperature of Boiler";40070;"°C";s16;10;0;0;0;R;
"BT25 external supply temp";"";40071;"°C";s16;10;0;0;0;R;
"BF1 Flow";"Current flow";40072;"l/m";s16;10;0;0;0;R;
"EB100-FR1 Anode Status";"";40074;"";s16;1;0;0;0;R;
"EB100-BE3 Current Phase 3";"";40079;"A";s32;10;0;0;0;R;
"EB100-BE2 Current Phase 2";"";40081;"A";s32;10;0;0;0;R;
"EB100-BE1 Current Phase 1";"";40083;"A";s32;10;0;0;0;R;
"CL12-BT51 Pool 2 Temp";"";40106;"°C";s16;10;0;0;0;R;
"EB100-BT20 Exhaust air temp. 4";"";40107;"°C";s16;10;0;0;0;R;
"EB100-BT20 Exhaust air temp. 3";"";40108;"°C";s16;10;0;0;0;R;
"EB100-BT20 Exhaust air temp. 2";"";40109;"°C";s16;10;0;0;0;R;
"EB100-BT21 Vented air temp. 4";"";40110;"°C";s16;10;0;0;0;R;
"EB100-BT21 Vented air temp. 3";"";40111;"°C";s16;10;0;0;0;R;
"EB100-BT21 Vented air temp. 2";"";40112;"°C";s16;10;0;0;0;R;
"AZ4-BT26 Temp Collector in FLM 4";"Connected to the FLM module";40113;"°C";s16;10;0;0;0;R;
"AZ3-BT26 Temp Collector in FLM 3";"Connected to the FLM module";40114;"°C";s16;10;0;0;0;R;
"AZ2-BT26 Temp Collector in FLM 2";"Connected to the FLM module";40115;"°C";s16;10;0;0;0;R;
"AZ4-BT27 Temp Collector out FLM 4";"Connected to the FLM module";40116;"°C";s16;10;0;0;0;R;
"AZ3-BT27 Temp Collector out FLM 3";"Connected to the FLM module";40117;"°C";s16;10;0;0;0;R;
"AZ2-BT27 Temp Collector out FLM 2";"Connected to the FLM module";40118;"°C";s16;10;0;0;0;R;
"EP23-BT3 Return temp S4";"Return temperature for system 4";40127;"°C";s16;10;0;0;0;R;
"EP22-BT3 Return temp S3";"Return temperature for system 3";40128;"°C";s16;10;0;0;0;R;
"EP21-BT3 Return temp S2";"Return temperature for system 2";40129;"°C";s16;10;0;0;0;R;
"EQ1-BT57 Collector temp.";"External collector temperature for ACS";40155;"°C";s16;10;0;0;0;R;
"EQ1-BT75 Heatdump temp.";"Heating medium dump temperature for ACS";40156;"°C";s16;10;0;0;0;R;
"Software version";"";43001;"";u16;1;0;0;0;R;
"Degree Minutes";"";43005;"";s16;10;-30000;30000;0;R/W;
"Calculated Supply Temperature S4";"";43006;"°C";s16;10;0;0;0;R;
"Calculated Supply Temperature S3";"";43007;"°C";s16;10;0;0;0;R;
"Calculated Supply Temperature S2";"";43008;"°C";s16;10;0;0;0;R;
"Calculated Supply Temperature S1";"";43009;"°C";s16;10;0;0;0;R;
"Freeze Protection Status";"1 = Freeze protection active";43013;"";u8;1;0;0;0;R;
"Status Cooling";" 0=Off 1=On";43024;"";u8;1;0;0;0;R;
"Tot. op.time add.";"Total electric additive operation time";43081;"h";s32;10;0;9999999;0;R;
"Int. el.add. Power";"Current power from the internal electrical addition";43084;"kW";s16;100;0;0;0;R;
"Prio";"Indicates what heating action (HW/heat/pool) currently prioritised 10=Off 20=Hot Water 30=Heat 40=Pool 41=Pool 2 50=Transfer 60=Cooling";43086;"";u8;1;0;0;0;R;
