ManufacturerName,Name,Channel,Code,Index,Skip,ChannelType,MeasureType_DEFAULT,MeasureType_ELV
INTEMP,Indoor Temperature,temperature-indoor,0x1,,,system:indoor-temperature,TEMPERATURE,
OUTTEMP,Outdoor Temperature,temperature-outdoor,0x2,,,system:outdoor-temperature,TEMPERATURE,
DEWPOINT,Dew point,temperature-dew-point,0x3,,,,TEMPERATURE,
WINDCHILL,Wind chill,temperature-wind-chill,0x4,,,,TEMPERATURE,
HEATINDEX,Heat index,temperature-heat-index,0x5,,,,TEMPERATURE,
INHUMI,Indoor Humidity,humidity-indoor,0x6,,,,PERCENTAGE,
OUTHUMI,Outdoor Humidity,humidity-outdoor,0x7,,,system:atmospheric-humidity,PERCENTAGE,
ABSBARO,Absolutely pressure,pressure-absolute,0x8,,,,PRESSURE,
RELBARO,Relative pressure,pressure-relative,0x9,,,system:barometric-pressure,PRESSURE,
WINDDIRECTION,Wind Direction,direction-wind,0xa,,,system:wind-direction,DEGREE,
WINDSPEED,Wind Speed,speed-wind,0xb,,,system:wind-speed,SPEED,
GUSTSPEED,Gust Speed,speed-gust,0xc,,,system:wind-speed,SPEED,
RAINEVENT,Rain Event,rain-event,0xd,,,,HEIGHT,HEIGHT_BIG
RAINRATE,Rain Rate,rain-rate,0xe,,,,HEIGHT_PER_HOUR,HEIGHT_PER_HOUR_BIG
RAINHOUR,Rain hour,rain-hour,0xf,,,,HEIGHT,HEIGHT_BIG
RAINDAY,Rain Day,rain-day,0x10,,,,HEIGHT,HEIGHT_BIG
RAINWEEK,Rain Week,rain-week,0x11,,,,HEIGHT,HEIGHT_BIG
RAINMONTH,Rain Month,rain-month,0x12,,,,HEIGHT_BIG,
RAINYEAR,Rain Year,rain-year,0x13,,,,HEIGHT_BIG,
RAINTOTALS,Rain Totals,rain-total,0x14,,,,HEIGHT_BIG,
LIGHT,Light,illumination,0x15,,,,LUX,
UV,UV,irradiation-uv,0x16,,,,MILLIWATT_PER_SQUARE_METRE,
